Designator,Mid X,Mid Y,Rotation,Layer
J1,136.86,-69.0,0.0,top
J2,96.55,-53.02,0.0,top
J3,137.56,-118.87,270.0,top
J4,140.23,-53.91,270.0,top
J6,90.4,-120.82,180.0,top
J7,113.42,-133.46,180.0,top
R1,118.14,-54.04,90.0,top
R2,133.87,-91.3,90.0,top
R3,109.16,-54.16,270.0,top
R4,141.9,-91.22,90.0,top
U1,113.82,-91.4,0.0,top
